RowLabels,y,COL+GPAT_CO_AT+ENV_PAT,COL+GPAT_CO_PR+ENV_PAT,COL+GPAT_CO_PR+TOT,DEV+GPAT_DE_AI+ENV_PAT,DEV+GPAT_DE_AT+ENV_PAT,DEV+GPAT_DE_CAP+ENV_PAT,DEV+GPAT_DE_GBAORD+ENV_PAT,DEV+GPAT_DE_PERC+BUILD,DEV+GPAT_DE_PERC+ENE,DEV+GPAT_DE_PERC+GHG,DEV+GPAT_DE_PERC+GOODS,DEV+GPAT_DE_PERC+ICT,DEV+GPAT_DE_PERC+MAN,DEV+GPAT_DE_PERC+TRA,DEV+GPAT_DE_PERC+WAT,DEV+GPAT_DE_PERC+WAT_WASTE,DIFF+GPAT_DI_AI+ENV_PAT,DIFF+GPAT_DI_AT+ENV_PAT,DIFF+GPAT_DI_PERC+BUILD,DIFF+GPAT_DI_PERC+ENE,DIFF+GPAT_DI_PERC+GHG,DIFF+GPAT_DI_PERC+GOODS,DIFF+GPAT_DI_PERC+ICT,DIFF+GPAT_DI_PERC+MAN,DIFF+GPAT_DI_PERC+TRA,DIFF+GPAT_DI_PERC+WAT,DIFF+GPAT_DI_PERC+WAT_WASTE,RENEW+GPAT_DE_RERD+ENV_PAT
ESP2010,31682.25,12.01,76.8,719.55,0.85,12.8,6.53,0.35,6.99,38.56,0.68,14.96,0.85,20.25,9.91,3.83,3.95,1.41,13.32,6.37,31.42,0.9,13.64,1.68,25.48,12.31,3.71,4.49,1.31
ESP2011,31263.75,14.45,95.52,798.95,0.92,14.62,7.35,0.4,8.14,39.9,1.59,13.07,1.21,21.95,8.49,2.33,3.32,1.29,13.89,7.7,32.26,1.24,13.05,2.28,26.11,9.82,2.71,4.83,0.87
ESP2012,30362.08,14.59,124.48,773.43,0.91,15.37,7.42,0.64,6.61,48.81,1.15,9.81,1.74,18.13,8.88,1.64,3.21,1.09,13.34,9.08,31.47,1.33,12.14,1.42,25.44,11.11,2.67,5.34,1.95
ESP2013,29928.45,13.14,76.65,805.33,0.87,14.57,6.91,0.63,7.04,37.21,0.77,9.99,1.99,20.76,11.48,3.62,7.13,0.98,13.71,7.31,26.64,0.93,11.73,5.79,27.28,11.04,3.83,5.45,2.78
ESP2014,30440.46,12.92,123.76,873.58,0.79,12.81,6,0.55,7.82,34.91,0.73,10.14,1.31,22,10.96,3.82,8.3,0.74,12.47,5.94,29.61,0.84,10.52,2.84,27.48,13.1,3.61,6.06,1.41
ESP2015,31621.58,12.74,137.64,934.72,0.77,12.22,5.57,0.45,3.96,35.35,0.5,10.26,2.01,28.93,11.99,2.63,4.36,0.45,11.68,4.91,31.96,0.68,10.05,1.37,30.82,11.19,3.08,5.94,1.32
ESP2016,32651.23,12.94,91.28,806.4,0.62,9.91,4.26,,7.19,25.57,1.38,11.55,3.12,28.38,13.5,3.19,6.13,0.26,10.76,7.97,26.29,1.2,10.56,1.59,30.68,10.76,4.38,6.57,0.98
EST2008,24590.28,5.88,0,37.4,0.02,11.16,4.72,,21.44,24.97,0,32.15,0,21.44,0,0,0,0.01,17.19,42.86,7.14,,14.29,,28.57,,,7.14,
EST2009,21031.31,7.69,3.01,30.03,0.02,7.84,3.74,,33.33,33.33,0,8.33,8.33,16.67,0,0,0,0.01,11.84,20,20,,20,10,20,,,10,
EST2010,21571.55,14.61,0,32.04,0.04,25.04,11.58,,13.27,16.33,0,0,39.8,20.41,0,6.12,4.08,0.02,24.68,10.34,20.69,,6.9,,41.38,,6.9,13.79,
